ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
615924447,Audio,Prairie Warbler,Setophaga discolor,,Tom Marvel,2024-03-11,2024,3,11,1145,United States,US-FL-021,Florida,Collier,Chokoloskee--Smallwood Store,25.8093473,-81.3595963,"",,Unspecified,"","",,,,,,,S164446156,"",,,,,Setophaga discolor,prawar,Species,33643,,2.00,1,,,
615896644,Audio,Prairie Warbler,Setophaga discolor,,Katrina Theisen,2023-05-01,2023,5,1,1501,United States,US-TX-373,Texas,Polk,"77351, Livingston US-TX 30.90287, -95.03377",30.9028650,-95.0337720,Adult Male – 1,Song,Unspecified,"","",,,iPhone 12 mini,,,,S135727908,"",,,,,Setophaga discolor,prawar,Species,33643,,4.00,2,"",,
615879243,Audio,Prairie Warbler,Setophaga discolor,,Bente Torvund,2024-03-10,2024,3,10,709,United States,US-FL-021,Florida,Collier,Marco Island--Tiger Tail Beach,25.9480980,-81.7445600,Adult Male – 1,Song,Not Used,"","",,,,,,,S164330106,"",,,,,Setophaga discolor,prawar,Species,33643,,3.00,2,"",,
615797918,Audio,Prairie Warbler,Setophaga discolor,,Karen Mammone,2023-05-05,2023,5,5,1026,United States,US-OH-009,Ohio,Athens,Lindy Roosenburg Preserve,39.3990660,-82.1053540,"",,Unspecified,"","",,,,,,,S136164835,"",,,,,Setophaga discolor,prawar,Species,33643,,.00,0,,,
615766985,Audio,Prairie Warbler,Setophaga discolor,,Katrina Theisen,2023-05-05,2023,5,5,1038,United States,US-TX-373,Texas,Polk,Private Property - RCR - R2,30.9042490,-95.0310710,"",Song,Unspecified,"","",,,iPhone 12 mini,,,,S136157709,"",,,,,Setophaga discolor,prawar,Species,33643,,.00,0,"",,
615659220,Audio,Prairie Warbler,Setophaga discolor,,Katrina Theisen,2023-04-15,2023,4,15,959,United States,US-TX-373,Texas,Polk,Private Property - RCR - R1,30.9070040,-95.0293300,"",Song,Unspecified,"","",,,iPhone 12 mini,,,,S133822087,"",,,,will attach audio later. Distinct facial markings and streaking on the sides.,Setophaga discolor,prawar,Species,33643,,.00,0,"",,
615414426,Audio,Prairie Warbler,Setophaga discolor,,Nathan Pieplow,2018-05-20,2018,5,20,1952,United States,US-NC-157,North Carolina,Rockingham,"293 Stacey Road, Ruffin, North Carolina, US (36.465, -79.548)",36.4653087,-79.5479303,"",,Unspecified,"","",,,,,,,S45876126,"",,,,,Setophaga discolor,prawar,Species,33643,,.00,0,,,
615371074,Audio,Prairie Warbler,Setophaga discolor,,Tracy Datlen,2024-02-26,2024,2,26,854,United States,US-FL-087,Florida,Monroe,Key Largo Hammocks State Botanical Site,25.1758333,-80.3694444,"",,Unspecified,"","",,,,,,,S163046754,"",,,,Heard at least two singing back and forth. High up and not close to trail. Did not see.,Setophaga discolor,prawar,Species,33643,,.00,0,,,
615300404,Audio,Prairie Warbler,Setophaga discolor,"Melospiza melodia -- Song Sparrow; Spinus tristis -- American Goldfinch; Vireo olivaceus -- Red-eyed Vireo; Seiurus aurocapilla -- Ovenbird; Geothlypis trichas -- Common Yellowthroat",Brian Henderson,2023-05-21,2023,5,21,528,United States,US-PA-115,Pennsylvania,Susquehanna,State Game Lands 236--Central,41.7658823,-75.5371052,Adult Male – 1,Song,Unspecified,"","",,,Nikon D500,,,,S138664561,"",,,Unusual song variant.  Bird seen.,One (seen) singing an unusual song.,Setophaga discolor,prawar,Species,33643,,4.00,2,"",,
615069965,Audio,Prairie Warbler,Setophaga discolor,"Seiurus aurocapilla -- Ovenbird; Spizella pusilla -- Field Sparrow; Spizella passerina -- Chipping Sparrow; Geothlypis trichas -- Common Yellowthroat",Sage Levy,2023-05-12,2023,5,12,718,United States,US-ME-005,Maine,Cumberland,"Capt. William Fitzgerald Recreation and Conservation Area, Brunswick",43.9234909,-69.8877668,"",Song,Not Used,"","",,,iphone se,,,,S137195208,"",,,"Example of an atypically slow song; amplified by 10dB in Audacity","*annual breeding site for high numbers, careful count of singers around full barrens loop. One gave a couple iterations of an odd slow song, with a chromatic scale ascending half as fast.",Setophaga discolor,prawar,Species,33643,,3.00,1,"",,
615069859,Audio,Prairie Warbler,Setophaga discolor,"Baeolophus bicolor -- Tufted Titmouse; Spizella pusilla -- Field Sparrow; Spizella passerina -- Chipping Sparrow; Geothlypis trichas -- Common Yellowthroat",Sage Levy,2023-05-12,2023,5,12,718,United States,US-ME-005,Maine,Cumberland,"Capt. William Fitzgerald Recreation and Conservation Area, Brunswick",43.9234909,-69.8877668,"",Song,Not Used,"","",,,iphone se,,,,S137195208,"",,,amplified by 10dB in Audacity,"*annual breeding site for high numbers, careful count of singers around full barrens loop. One gave a couple iterations of an odd slow song, with a chromatic scale ascending half as fast.",Setophaga discolor,prawar,Species,33643,,4.00,1,"",,
614995560,Audio,Prairie Warbler,Setophaga discolor,,Brandon Lowden,2024-02-07,2024,2,7,1259,United States,US-FL-087,Florida,Monroe,Everglades NP--Snake Bight Trail,25.1876968,-80.8741825,"",Song,Unspecified,"","",,,Samsung Galaxy S23 Ultra,,,,S161180034,"",,,,,Setophaga discolor,prawar,Species,33643,,3.00,1,"",,
614995553,Audio,Prairie Warbler,Setophaga discolor,,Brandon Lowden,2024-02-07,2024,2,7,1259,United States,US-FL-087,Florida,Monroe,Everglades NP--Snake Bight Trail,25.1876968,-80.8741825,"",Song,Unspecified,"","",,,Samsung Galaxy S23 Ultra,,,,S161180034,"",,,,,Setophaga discolor,prawar,Species,33643,,3.00,1,"",,
614995541,Audio,Prairie Warbler,Setophaga discolor,,Brandon Lowden,2024-02-07,2024,2,7,1259,United States,US-FL-087,Florida,Monroe,Everglades NP--Snake Bight Trail,25.1876968,-80.8741825,"",Song,Not Used,"","",,,Samsung Galaxy S23 Ultra,,,,S161180034,"",,,,,Setophaga discolor,prawar,Species,33643,,3.00,1,"",,
614759752,Audio,Prairie Warbler,Setophaga discolor,,Arnaud  Valade,2024-02-12,2024,2,12,1349,United States,US-FL-087,Florida,Monroe,Everglades NP--Snake Bight Trail,25.1876968,-80.8741825,"",,Unspecified,"","",,,,,,,S161343783,"",,,,,Setophaga discolor,prawar,Species,33643,,.00,0,,,
614507819,Audio,Prairie Warbler,Setophaga discolor,,Ted Keyel,2018-05-26,2018,5,26,944,United States,US-NY-001,New York,Albany,Deer Mt. Nature Trail,42.4965307,-73.8529566,"",,Unspecified,"","",,,,,,,S46037929,"",,,,,Setophaga discolor,prawar,Species,33643,,.00,0,,,
614227689,Audio,Prairie Warbler,Setophaga discolor,"Vireo griseus [griseus Group] -- White-eyed Vireo (White-eyed); Spinus tristis -- American Goldfinch",Daniel S.,2023-05-15,2023,5,15,638,United States,US-MD-031,Maryland,Montgomery,Little Bennett RP--Wilson Mill Trail,39.2650761,-77.2855396,Adult Male – 1,Song,Not Used,"","",,,Canon EOS 7D Mark II,,,,S137827272,"",,,,,Setophaga discolor,prawar,Species,33643,,4.00,1,"",,
614125331,Audio,Prairie Warbler,Setophaga discolor,"Seiurus aurocapilla -- Ovenbird; Vireo solitarius -- Blue-headed Vireo",Amy Swarr,2022-05-15,2022,5,15,1504,United States,US-VT-027,Vermont,Windsor,Powerlines Trail,43.4467750,-72.4026897,Adult Male – 1,Song,Unspecified,"","",,,,,,,S110279285,"",,,Male singing in wild grassy area in the middle of the powerlines.,2 Singing,Setophaga discolor,prawar,Species,33643,,3.50,2,"",,
614089896,Audio,Prairie Warbler,Setophaga discolor,,Penguin Iceberg,2023-05-21,2023,5,21,917,United States,US-MI-163,Michigan,Wayne,Maybury SP,42.4296000,-83.5337186,"","",Not Used,"","",,,Pixel 4a,,,,S138711625,"",,,,"Trying for a third time. Posting pictures and sound if I can. :/ Is is possible that there was a s e c o n d bird as bird was heard calling from both sides of path. But as it was only possibly heard, it was not counted. Thanks.",Setophaga discolor,prawar,Species,33643,,2.00,1,"",,
614089897,Audio,Prairie Warbler,Setophaga discolor,Cyanocitta cristata -- Blue Jay,Penguin Iceberg,2023-05-21,2023,5,21,917,United States,US-MI-163,Michigan,Wayne,Maybury SP,42.4296000,-83.5337186,"",Song,Not Used,"","",,,Pixel 4a,,,,S138711625,"",,,,"Trying for a third time. Posting pictures and sound if I can. :/ Is is possible that there was a s e c o n d bird as bird was heard calling from both sides of path. But as it was only possibly heard, it was not counted. Thanks.",Setophaga discolor,prawar,Species,33643,,2.00,1,"",,
613950986,Audio,Prairie Warbler,Setophaga discolor,,Maia Ginsburg,2024-01-16,2024,1,16,740,Bahamas,BS-SP,"South Abaco and Moore's Island",,The Y,26.0414667,-77.2572594,"",,Unspecified,"","",,,,,,,S159702909,"",,,,"black face pattern, yellow chest and belly, white undertail , and recorded",Setophaga discolor,prawar,Species,33643,,1.00,1,,,
613950973,Audio,Prairie Warbler,Setophaga discolor,,Maia Ginsburg,2024-01-16,2024,1,16,740,Bahamas,BS-SP,"South Abaco and Moore's Island",,The Y,26.0414667,-77.2572594,"",,Unspecified,"","",,,,,,,S159702909,"",,,,"black face pattern, yellow chest and belly, white undertail , and recorded",Setophaga discolor,prawar,Species,33643,,2.00,1,,,
613949452,Audio,Prairie Warbler,Setophaga discolor,,Darien Piña Davila,2024-01-24,2024,1,24,1055,Cuba,CU-12,Granma,,Costa de Media Luna,20.1604655,-77.4384538,"",,Unspecified,"","",,,,,,,S159701733,"",,,,,Setophaga discolor,prawar,Species,33643,,.00,0,,,
613567701,Audio,Prairie Warbler,Setophaga discolor,,Jeff Smith,2023-04-28,2023,4,28,630,United States,US-MD-031,Maryland,Montgomery,Blue Mash Nature Trail,39.1939588,-77.1060175,"",,Unspecified,"","",,,,,,,S158998840,"",,,,,Setophaga discolor,prawar,Species,33643,,2.00,1,,,
613190787,Audio,Prairie Warbler,Setophaga discolor,,Kelly Krechmer,2023-05-12,2023,5,12,1545,United States,US-ME-031,Maine,York,Kennebunk Plains--Maguire Rd.,43.3940482,-70.6263399,"",,Unspecified,"","",,,,,,,S137534806,"",,,,,Setophaga discolor,prawar,Species,33643,,4.50,2,,,
612704215,Audio,Prairie Warbler,Setophaga discolor,,"Isoo O'Brien",2022-05-02,2022,5,2,644,United States,US-OH-083,Ohio,Knox,Franklin Miller Observatory,40.3838573,-82.4057114,"",,Unspecified,"","",,,,,,,S108711584,"",,,,"Was hoping I would run into one of these this morning - presumably continuing bird reported twice last week. Heard only, singing from scrubby area with short pines at hilltop… setting up territory?",Setophaga discolor,prawar,Species,33643,,1.00,1,,,
612461737,Audio,Prairie Warbler,Setophaga discolor,,David Matevosian,2023-06-24,2023,6,24,1728,United States,US-MA-027,Massachusetts,Worcester,"Templeton, Massachusetts, US",42.5781808,-72.0871709,"",,Unspecified,"","",,,,,,,S142620237,"",,,,,Setophaga discolor,prawar,Species,33643,,4.00,2,,,
612203674,Audio,Prairie Warbler,Setophaga discolor,,Sam Zhang,2023-12-06,2023,12,6,1329,Jamaica,JM-02,Saint Andrew,,Blue Mountains NP--Hardwar Gap (general area),18.0776526,-76.7246103,"",Call,Unspecified,"","",,,,,,,S155986090,"",,,,,Setophaga discolor,prawar,Species,33643,,3.00,1,"",,
612026916,Audio,Prairie Warbler,Setophaga discolor,,Zachary Peterson,2023-04-09,2023,4,9,831,Dominican Republic,DO-15,Monte Cristi,,Monte Cristi--Caño de Quebró,19.8314747,-71.6676693,"",,Unspecified,"","",,,,,,,S133264698,"",,,,,Setophaga discolor,prawar,Species,33643,,4.50,2,,,
612026917,Audio,Prairie Warbler,Setophaga discolor,,Zachary Peterson,2023-04-09,2023,4,9,831,Dominican Republic,DO-15,Monte Cristi,,Monte Cristi--Caño de Quebró,19.8314747,-71.6676693,"",,Unspecified,"","",,,,,,,S133264698,"",,,,,Setophaga discolor,prawar,Species,33643,,1.00,1,,,
611565997,Audio,Prairie Warbler,Setophaga discolor,,Brian Sullivan,2023-11-24,2023,11,24,636,Bahamas,BS-MH,"Central Abaco, Hope Town and Green Turtle Cay",,Elbow Cay--North End,26.5530903,-76.9594753,"",Call,Not Used,"","",,,Zoom F3,Wildtronics Parabola Mic,Feather Light Dish,,S155091863,"",,,"Two high 'tee' calls given by a feeding bird",Counted individually,Setophaga discolor,prawar,Species,33643,,3.00,1,"",,
611429850,Audio,Prairie Warbler,Setophaga discolor,,Daniel Estabrooks,2023-10-22,2023,10,22,200,United States,US-FL-097,Florida,Osceola,Three Lakes WMA--Hwy. 60 unit,27.8326657,-81.1449337,"",Flight Call,Unspecified,"","",,,,,,,S154963067,"",,,,"27.7858, -81.1263",Setophaga discolor,prawar,Species,33643,,1.00,1,"",,
611337166,Audio,Prairie Warbler,Setophaga discolor,,Kai Frueh,2023-06-10,2023,6,10,1028,United States,US-MI-019,Michigan,Benzie,Sleeping Bear Dunes NL--Platte Plains Trail Lasso Loop,44.7258086,-86.1113240,"",,Unspecified,"","",,,Sony a6100,Sennheiser MKE 600,,,S141171326,"",,,,,Setophaga discolor,prawar,Species,33643,,4.00,2,,,
611337165,Audio,Prairie Warbler,Setophaga discolor,,Kai Frueh,2023-06-10,2023,6,10,1028,United States,US-MI-019,Michigan,Benzie,Sleeping Bear Dunes NL--Platte Plains Trail Lasso Loop,44.7258086,-86.1113240,"",,Unspecified,"","",,,Sony a6100,Sennheiser MKE 600,,,S141171326,"",,,,,Setophaga discolor,prawar,Species,33643,,3.00,1,,,
611236151,Audio,Prairie Warbler,Setophaga discolor,,William Hull,2022-05-23,2022,5,23,1026,United States,US-NC-029,North Carolina,Camden,Dismal Swamp SP,36.5053847,-76.3559783,"",Song,Not Used,"","",,,Apple iPhone 12,,,,S111132733,"",,,,,Setophaga discolor,prawar,Species,33643,,1.00,1,"",,
611192683,Audio,Prairie Warbler,Setophaga discolor,"Geothlypis trichas -- Common Yellowthroat; Baeolophus bicolor -- Tufted Titmouse; Poecile carolinensis -- Carolina Chickadee; Thryothorus ludovicianus -- Carolina Wren; Spinus tristis -- American Goldfinch; Setophaga coronata coronata -- Yellow-rumped Warbler (Myrtle); Turdus migratorius -- American Robin; Zonotrichia albicollis -- White-throated Sparrow",Brian Henderson,2023-04-28,2023,4,28,814,United States,US-PA-091,Pennsylvania,Montgomery,Unami Creek Valley--Camp Hart Area (roadside access only),40.3645663,-75.4269275,"",Song,Not Used,"","",,,Nikon D500,,,,S135279387,"",,,,FOY.,Setophaga discolor,prawar,Species,33643,,3.00,1,"",,
610832156,Audio,Prairie Warbler,Setophaga discolor,,Andrew Staufer,2020-06-18,2020,6,18,750,United States,US-TN-049,Tennessee,Fentress,Pogue Creek Canyon SNA,36.5282549,-84.8676526,"",,Unspecified,"","",,,,,,,S70970394,"",,,,World lifer species #207! Several individuals singing around the area. Heard only.,Setophaga discolor,prawar,Species,33643,,3.50,2,,,
609981169,Audio,Prairie Warbler,Setophaga discolor,,Christopher Eliot,2012-05-12,2012,5,12,631,United States,US-NJ-009,New Jersey,Cape May,Cape Island--Higbees Beach SWA,38.9613900,-74.9608300,"",,Unspecified,"","",,,,,,,S10721395,"",,,,,Setophaga discolor,prawar,Species,33643,,1.00,1,,,
609814492,Audio,Prairie Warbler,Setophaga discolor,,Andrew Core,2023-04-14,2023,4,14,1011,United States,US-TN-001,Tennessee,Anderson,Norris Dam SP--Songbird Trail,36.2178689,-84.0864372,"",,Unspecified,"","",,,,,,,S133706813,"",,,,,Setophaga discolor,prawar,Species,33643,,3.00,1,,,
609809695,Audio,Prairie Warbler,Setophaga discolor,,Andrew Core,2023-04-16,2023,4,16,815,United States,US-TN-093,Tennessee,Knox,Knoxville--544 Mellen Ave,35.9375760,-83.9770210,"",,Unspecified,"","",,,,,,,S133947631,"",,,,,Setophaga discolor,prawar,Species,33643,,3.00,1,,,
609462247,Audio,Prairie Warbler,Setophaga discolor,,Kevin Christman,2023-10-01,2023,10,1,1209,United States,US-FL-001,Florida,Alachua,Kanapaha Botanical Garden,29.6128267,-82.4088335,"",,Unspecified,"","",,,,,,,S151195806,"",,,,,Setophaga discolor,prawar,Species,33643,,1.00,1,,,
609462246,Audio,Prairie Warbler,Setophaga discolor,,Kevin Christman,2023-10-01,2023,10,1,1209,United States,US-FL-001,Florida,Alachua,Kanapaha Botanical Garden,29.6128267,-82.4088335,"",,Unspecified,"","",,,,,,,S151195806,"",,,,,Setophaga discolor,prawar,Species,33643,,2.00,1,,,
609412934,Audio,Prairie Warbler,Setophaga discolor,,Gary Leavens,2023-09-21,2023,9,21,1849,United States,US-FL-117,Florida,Seminole,Home,28.6361230,-81.1658240,Unknown – 1,Call,Not Used,"","",,,Merlin on iPhone 13,,,,S150441118,"",,,,,Setophaga discolor,prawar,Species,33643,,3.50,2,"",,
609338533,Audio,Prairie Warbler,Setophaga discolor,,Ethan K NFC Station,2023-09-26,2023,9,26,2142,United States,US-PA-045,Pennsylvania,Delaware,Greycar Rion Memorial Refuge (my yard) [GRMR-BY],39.8488116,-75.5180149,"",Flight Call,Unspecified,"","",,,Samsung Galaxy Note 20,,Red Solo Cup Parabola,,S150841955,"",,,,NFC 3,Setophaga discolor,prawar,Species,33643,,2.00,1,"",,
609274537,Audio,Prairie Warbler,Setophaga discolor,,Patrick McGill,2023-05-03,2023,5,3,643,United States,US-PA-101,Pennsylvania,Philadelphia,John Heinz NWR--impoundment (Philadelphia Co.),39.8893501,-75.2601457,"",,Unspecified,"","",,,,,,,S135966532,"",,,,,Setophaga discolor,prawar,Species,33643,,3.00,1,,,
609242619,Audio,Prairie Warbler,Setophaga discolor,,Heath Harlan,2022-04-23,2022,4,23,737,United States,US-IN-163,Indiana,Vanderburgh,Igleheart Park,38.0367411,-87.5719249,"",,Unspecified,"","",,,,,,,S107782420,"",,,,,Setophaga discolor,prawar,Species,33643,,4.00,1,,,
609076577,Audio,Prairie Warbler,Setophaga discolor,,Elizabeth Anderegg,2023-09-20,2023,9,20,835,United States,US-SC-019,South Carolina,Charleston,Ft. Moultrie National Monument,32.7588311,-79.8567868,"",,Unspecified,"","",,,,,,,S150358140,"",,,,,Setophaga discolor,prawar,Species,33643,,3.00,1,,,
609061673,Audio,Prairie Warbler,Setophaga discolor,,Daniel Estabrooks,2023-09-18,2023,9,18,540,United States,US-FL-105,Florida,Polk,Bok Tower Gardens,27.9357049,-81.5774481,"",Flight Call,Unspecified,"","",,,,,,,S150357935,"",,,,"27.9174, -81.5702",Setophaga discolor,prawar,Species,33643,,3.00,1,"",,
609059981,Audio,Prairie Warbler,Setophaga discolor,,Pam Rasmussen,2013-03-05,2013,3,5,0,Dominican Republic,DO-10,Independencia,,Rabo de Gato,18.3162597,-71.5801077,"",Call,Not Used,"","",,AVoCet16970,,,,,S150731099,"",,,Recording time: 1801. Elevation (m): 500. Habitat: tall mixed forest. Confidence in ID: 100%. ID determined by: Seen. Group size: 1.,,Setophaga discolor,prawar,Species,33643,,3.00,1,"",,
609059927,Audio,Prairie Warbler,Setophaga discolor,,Pam Rasmussen,2013-03-05,2013,3,5,0,Dominican Republic,DO-10,Independencia,,Rabo de Gato,18.3162597,-71.5801077,"",Call,Not Used,"","",,AVoCet16932,,,,,S150731099,"",,,"Recording time: 1015. Elevation (m): 410. Habitat: tall mixed forest . Confidence in ID: 100%. ID determined by: seen well. Age: adult. Age determined by: plumage. Sex: male. Sex determined by: plumage. Group size: 1.",,Setophaga discolor,prawar,Species,33643,,3.00,1,"",,
